bits_testing_pvalue,bits_testing_pass,frequency_within_block_pvalue,frequency_within_block_pass,runs_pvalue,runs_pass,longest_run_within_block_pvalue,longest_run_within_block_pass,binary_matrix_rank_pvalue,binary_matrix_rank_pass,discrete_fourier_transform_pvalue,discrete_fourier_transform_pass,maurers_universal_statistical_pvalue,maurers_universal_statistical_pass,cumulative_sums_pvalue,cumulative_sums_pass,random_excursions_state-4_pvalue,random_excursions_state-4_pass,random_excursions_state-3_pvalue,random_excursions_state-3_pass,random_excursions_state-2_pvalue,random_excursions_state-2_pass,random_excursions_state-1_pvalue,random_excursions_state-1_pass,random_excursions_state0_pvalue,random_excursions_state0_pass,random_excursions_state1_pvalue,random_excursions_state1_pass,random_excursions_state2_pvalue,random_excursions_state2_pass,random_excursions_state3_pvalue,random_excursions_state3_pass,random_excursions_state4_pvalue,random_excursions_state4_pass,random_excursions_variant_state-9_pvalue,random_excursions_variant_state-9_pass,random_excursions_variant_state-8_pvalue,random_excursions_variant_state-8_pass,random_excursions_variant_state-7_pvalue,random_excursions_variant_state-7_pass,random_excursions_variant_state-6_pvalue,random_excursions_variant_state-6_pass,random_excursions_variant_state-5_pvalue,random_excursions_variant_state-5_pass,random_excursions_variant_state-4_pvalue,random_excursions_variant_state-4_pass,random_excursions_variant_state-3_pvalue,random_excursions_variant_state-3_pass,random_excursions_variant_state-2_pvalue,random_excursions_variant_state-2_pass,random_excursions_variant_state-1_pvalue,random_excursions_variant_state-1_pass,random_excursions_variant_state1_pvalue,random_excursions_variant_state1_pass,random_excursions_variant_state2_pvalue,random_excursions_variant_state2_pass,random_excursions_variant_state3_pvalue,random_excursions_variant_state3_pass,random_excursions_variant_state4_pvalue,random_excursions_variant_state4_pass,random_excursions_variant_state5_pvalue,random_excursions_variant_state5_pass,random_excursions_variant_state6_pvalue,random_excursions_variant_state6_pass,random_excursions_variant_state7_pvalue,random_excursions_variant_state7_pass,random_excursions_variant_state8_pvalue,random_excursions_variant_state8_pass,random_excursions_variant_state9_pvalue,random_excursions_variant_state9_pass,entropy_bits,entropy_bytes,chi2_bytes,max_p_byte,std_p_byte,cv_byte,run_mean,run_std,run_max,run_cv,acf_lag1,acf_lag2,acf_lag4,acf_lag8,lz_complexity,compression_ratio,transition_rate,transition_balance,transition_deviation,spectral_entropy,dominant_freq_ratio,spectral_flatness,entropy_variance,ones_ratio_variance,Category,Algorithm_Type,Algorithm
0.0806159239,1,0.9166412221,1,0.7932524431,1,0.0000000884,0,0.0000000000,0,0.3224039900,1,0.1163683453,1,0.1571609476,1,0.4244036034,1,0.5906952483,1,0.8233570617,1,0.4107987702,1,0.0000000000,0,0.7844318262,1,0.5189976306,1,0.1623667260,1,0.1213652472,1,0.7790605604,1,0.5216022782,1,0.3633647366,1,0.2420800077,1,0.1459682682,1,0.0937546607,1,0.2444574668,1,0.4608837440,1,0.9423676181,1,0.3350833357,1,0.8346855881,1,0.7383135953,1,0.4945323411,1,0.3640386441,1,0.4241485332,1,0.3959816038,1,0.2600799421,1,0.2308568711,1,0.9999986239,7.9991117682,245.7805687772,0.0043498260,0.0001369336,0.0350550095,1.9991753731,1.4121568433,19.0000000000,0.7063696674,0.0000681223,-0.0000449983,-0.0000774971,0.0000087497,1.3750112413,0.0001599943,0.5002059294,0.0000012494,0.0004137673,19.0001916254,13.1459969786,0.5616622489,0.0000038532,0.0005038160,Symmetric,Stream Cipher Mode,AES-CTR
0.9395041098,1,0.8942625469,1,0.3496735739,1,0.0000000025,0,0.0000000000,0,0.3553622807,1,0.2144033823,1,0.9582487242,1,0.5447957428,1,0.8315255365,1,0.4796446660,1,0.9448296660,1,0.0000000000,0,0.5310791516,1,0.8892808367,1,0.8301959760,1,0.3578758296,1,0.3982731669,1,0.2912735411,1,0.3222173731,1,0.4398799086,1,0.5297132857,1,0.9306447433,1,0.5324213655,1,0.8745564498,1,0.5943810312,1,0.9540932445,1,0.8942359782,1,0.9794608036,1,0.9392962072,1,0.6764126176,1,0.4476264027,1,0.5466893992,1,0.5227288081,1,0.3905218143,1,0.9999999974,7.9990850480,253.8724051038,0.0043898244,0.0001391695,0.0356273947,2.0029617612,1.4177970029,21.0000000000,0.7078502597,0.0000393734,-0.0000574978,-0.0000274990,0.0000724975,1.3751271662,0.0001599943,0.4992603416,0.0000000000,0.0014793132,18.9982979435,13.2693569942,0.5607391493,0.0000038434,0.0004805142,Symmetric,Stream Cipher Mode,AES-CTR
0.2445476748,1,0.8258071195,1,0.9846587663,1,0.0000610252,0,0.0000000000,0,0.0282500566,1,0.7346745248,1,0.4120931756,1,0.4994422362,1,0.0569127171,1,0.0582900977,1,0.0882104259,1,0.0000000000,0,0.1855828387,1,0.1897319619,1,0.2585250467,1,0.0922019925,1,0.7055337006,1,0.4528613288,1,0.2665182481,1,0.2352512076,1,0.3098879561,1,0.4002245673,1,0.4045055192,1,0.2890933152,1,0.0950689042,1,0.0482371939,1,0.2782733809,1,0.5257333199,1,0.6027116302,1,0.5716055777,1,0.7562826543,1,0.9446355895,1,0.8800948395,1,0.7256850368,1,0.9999993895,7.9990915359,251.9089636415,0.0043098276,0.0001386303,0.0354893567,2.0000624995,1.4147473212,20.0000000000,0.7073515561,0.0000318737,0.0000187493,0.0000524980,-0.0000487483,1.3751658078,0.0001599943,0.4999840631,0.0000000000,0.0000310274,18.9989819451,12.5079864955,0.5616256888,0.0000039280,0.0004827439,Symmetric,Stream Cipher Mode,AES-CTR
0.6752209484,1,0.5851829614,1,0.7722660916,1,0.0000011674,0,0.0000000000,0,0.1712429591,1,0.3071834099,1,0.9879209367,1,0.0168217336,1,0.7731516606,1,0.9093081968,1,0.8931596688,1,0.0000000000,0,0.7443790216,1,0.9300688975,1,0.9866021393,1,0.3866963052,1,0.0924182346,1,0.1782512973,1,0.2095958797,1,0.2428143030,1,0.5475702651,1,0.5985481876,1,0.7758146376,1,0.9206850561,1,0.6906385838,1,0.6711857616,1,0.9146064206,1,0.8170182880,1,0.9839981092,1,0.7602712569,1,0.3897966274,1,0.2909730054,1,0.2400380033,1,0.1431983284,1,0.9999999209,7.9989671817,286.2499900004,0.0043748250,0.0001477778,0.0378311076,1.9990854550,1.4140948802,25.0000000000,0.7073709014,0.0000231241,-0.0000637475,0.0000224992,0.0000362487,1.3750885246,0.0001599943,0.5002284285,0.0000012494,0.0004569668,19.0004568821,14.2428963127,0.5617442633,0.0000041375,0.0004962484,Symmetric,Stream Cipher Mode,AES-CTR
0.4347631126,1,0.6912006406,1,0.7648862817,1,0.0000000117,0,0.0000000000,0,0.7298539714,1,0.3807515737,1,0.6590592028,1,0.5432196099,1,0.7839922757,1,0.3204592762,1,0.5178213230,1,0.0000000000,0,0.1560093474,1,0.1686228177,1,0.0262168295,1,0.0053887388,0,0.2623488567,1,0.1317454513,1,0.0643797506,1,0.0437190663,1,0.0500694703,1,0.1541678499,1,0.2244906942,1,0.1252687002,1,0.1138760019,1,0.4780594928,1,0.0661664544,1,0.0712500273,1,0.1180848637,1,0.0992350646,1,0.1458016079,1,0.1423039936,1,0.1226152025,1,0.1701958840,1,0.9999997250,7.9990902494,252.4875005000,0.0042748290,0.0001387894,0.0355300859,1.9990554841,1.4126009499,18.0000000000,0.7066341886,0.0000081247,0.0000774970,0.0000349987,0.0000074997,1.3751271662,0.0001599943,0.5002359282,0.0000012494,0.0004722379,18.9999513097,14.0010208658,0.5613162826,0.0000039715,0.0004876242,Symmetric,Stream Cipher Mode,AES-CTR
